location,location_type,area_m2,area_unit,frontage_exists,frontage_m,street_type,street_width_m,is_organized,type,has_water,has_electricity,has_swer,political_zone,date_of_sale,price_JOD,distance_from_center,distance_from_center_unit,distance_from_center_unknown,proximity_main_road_distance,proximity_main_road_unit,proximity_main_road_unknown,proximity_services_mosque,proximity_services_mosque_near_far,proximity_services_school,proximity_services_school_type,proximity_services_school_near_far,proximity_services_hospital,proximity_services_hospital_type,proximity_services_hospital_near_far,proximity_to_sea,terrain,earth_direction,ownership_registry,type_of_land,shape_of_land,number_of_facades,soil_type
Bethlehem,city,3148.0,sqm,نعم,25,ترابي,3,True,سكن أ,False,False,True,B,2022-12-07,94445.41,20.644,m,False,,,True,False,,True,public,near,False,,,none,منحدر,شرق,طابو,ملك,مربعة,3,طيني
Jenin,city,0.1233,feddan,لا أعلم,,,,False,,False,False,False,A,2023-01-27,3981.62,16.487,m,False,3.21,km,False,True,far,False,,,False,,,none,جبل,شرق,طابو,ملك,شكل غير منتظم,3,طمي
Qalqilya,city,4.624,donum,نعم,23,زفتة فرعي,3,False,,False,False,True,A,2022-08-30,63013.62,0.379,km,False,0.54,min,False,True,near,True,public,near,True,hospital,near,far,جبل,غرب,طابو,ملك,شبه مربعة,3,طيني
Salfit,city,802.0,sqm,نعم,25,زفتة فرعي,8,False,,False,True,True,C,2021-01-21,92728.76,12.753,km,False,3.75,km,False,False,,False,,,False,,,far,جبل,جنوب,تسجيل جديد,اميرية,شبه مستطيلة,4,طمي
Ain_Yabrud,village,0.21,donum,لا,,,,True,تجاري هامشي,True,True,True,B,2020-07-21,96498.1,12.359,km,False,2.82,min,False,True,near,False,,,False,,,none,منحدر,شمال,تسجيل جديد,اميرية,شكل غير منتظم,0,رملي
Bethlehem,city,4645.0,sqm,نعم,20,زفتة فرعي,10,True,سكن ب,False,True,False,A,2022-05-10,81306.72,2.571,m,False,11.21,min,False,True,near,True,public,far,False,,,far,جبل,غرب,تسجيل جديد,اميرية,شكل غير منتظم,4,صخري
Jenin,city,0.2183,hectare,لا أعلم,,,,True,سكن ب,True,False,False,B,2020-10-14,96005.59,17.106,km,False,49.82,min,False,True,far,True,public,near,True,clinic,far,far,سهل,جنوب,تسجيل جديد,اميرية,شكل غير منتظم,0,طيني
Beit_Ummar,village,220.0,sqm,نعم,22,زفتة رئيسي,11,False,,True,False,True,B,2021-08-15,69049.43,15.102,km,False,0,m,False,True,far,False,,,True,hospital,far,none,جبل,غرب,طابو,اميرية,شبه مربعة,0,صخري
Hebron,city,191.0,sqm,لا أعلم,,,,True,سكن أ,False,True,False,B,2021-11-07,49411.89,23.26,km,False,12.09,m,False,False,,False,,,True,hospital,near,none,جبل,شمال,تسجيل جديد,ملك,مربعة,0,رملي
Jericho,city,0.1419,feddan,نعم,9,زفتة رئيسي,7,True,مركز تجاري ب,False,True,False,B,2021-01-23,15472.72,2.897,km,False,0,m,False,True,far,True,public,far,True,hospital,far,none,سهل,غرب,تسجيل جديد,ملك,مربعة,1,رملي
Beitunia,village,277.0,sqm,نعم,25,زفتة فرعي,10,False,,True,True,False,C,2025-02-28,30725.39,2.493,km,False,,,True,True,near,False,,,True,hospital,far,far,سهل,شرق,طابو,ملك,شبه مستطيلة,1,طمي
As_Samu,village,0.2256,hectare,لا أعلم,,,,True,مكاتب,True,True,True,C,2021-10-19,68973.93,23.192,km,False,43.95,km,False,True,near,True,public,far,True,hospital,far,none,منحدر,شرق,طابو,ملك,مستطيلة,4,طيني
Kafr_Qasem,village,0.274,donum,لا أعلم,,,,True,مركز تجاري ب,False,False,False,A,2024-03-13,74720.39,20.624,m,False,9.9,km,False,True,near,False,,,True,hospital,near,none,منحدر,غرب,مالية,اميرية,شبه مستطيلة,0,صخري
Ramallah,city,0.3812,hectare,نعم,8,ترابي,6,True,تجاري هامشي,False,True,True,A,2021-10-06,64104.94,7.234,km,False,4.92,km,False,False,,True,private,near,True,hospital,near,none,سهل,شرق,طابو,ملك,شبه مربعة,4,طيني
Jenin,city,0.1039,hectare,لا,,,,True,سكن ب,False,False,False,B,2022-07-23,30471.0,5.407,km,False,48.86,min,False,False,,True,private,far,True,clinic,near,none,سهل,غرب,تسجيل جديد,ملك,مربعة,3,طمي
Bethlehem,city,0.1219,feddan,لا أعلم,,,,True,مكاتب,True,True,True,C,2023-12-01,3579.77,12.119,km,False,14.2,min,False,True,far,True,private,far,True,clinic,far,none,منحدر,شمال,طابو,ملك,مستطيلة,2,رملي
Jenin,city,0.0645,hectare,نعم,4,ترابي,5,True,تجاري هامشي,False,True,False,B,2021-07-10,35809.42,26.13,m,False,48.12,m,False,True,far,False,,,True,clinic,near,far,جبل,جنوب,تسجيل جديد,ملك,مربعة,0,طيني
As_Samu,village,0.1464,hectare,نعم,24,زفتة فرعي,6,False,,False,True,False,C,2024-05-16,24117.58,3.435,km,False,8.67,km,False,True,near,True,public,far,False,,,far,منحدر,جنوب,تسجيل جديد,اميرية,موارس,4,صخري
Tulkarm,city,0.7343,feddan,نعم,16,ترابي,10,True,مركز تجاري ب,False,True,False,B,2024-10-19,48484.18,2.174,m,False,18.87,min,False,False,,False,,,True,clinic,near,none,سهل,شرق,طابو,اميرية,شكل غير منتظم,1,طيني
Beit_Sahour,village,1.665,donum,لا,,,,False,,True,False,True,A,2023-07-11,65413.89,4.707,km,False,11.41,m,False,False,,True,public,far,True,clinic,near,none,سهل,غرب,مالية,اميرية,مستطيلة,0,صخري
Nablus,city,861.0,sqm,لا,,,,False,,False,True,True,C,2022-08-31,56790.72,10.208,m,False,,,True,True,far,True,public,far,True,clinic,near,far,منحدر,شمال,تسجيل جديد,اميرية,شبه مستطيلة,0,طيني
Nablus,city,3847.0,sqm,لا,,,,True,مكاتب,True,True,False,A,2023-09-08,78108.26,24.75,km,False,,,True,False,,False,,,False,,,far,سهل,شمال,مالية,ملك,مربعة,1,رملي
Beitunia,village,1.684,donum,لا,,,,False,,True,False,True,C,2021-12-27,79528.57,,,True,,,True,True,far,True,private,far,True,clinic,near,far,سهل,شمال,تسجيل جديد,اميرية,شبه مربعة,0,رملي
Salfit_Village,village,0.1086,feddan,لا,,,,True,منطقة صناعية,True,True,False,A,2023-05-18,99561.96,,,True,28.01,km,False,False,,False,,,True,hospital,near,none,منحدر,شرق,طابو,ملك,شبه مربعة,3,صخري
Tulkarm,city,4788.0,sqm,لا,,,,False,,False,True,True,B,2020-11-19,57443.66,2.189,m,False,14.03,km,False,False,,False,,,True,clinic,near,none,سهل,غرب,تسجيل جديد,اميرية,شكل غير منتظم,4,طيني
Nablus,city,0.43,feddan,لا أعلم,,,,True,سكن ج,False,True,False,B,2022-12-04,77706.91,12.077,km,False,32.63,min,False,False,,True,private,near,True,clinic,near,far,سهل,شمال,مالية,ملك,شبه مستطيلة,2,طيني
Al-Bireh,city,4.616,donum,نعم,18,زفتة رئيسي,9,True,مكاتب,True,True,True,C,2021-11-04,66925.3,29.693,m,False,0,m,False,False,,False,,,False,,,none,سهل,شرق,طابو,اميرية,شبه مستطيلة,1,رملي
Deir_Al_Ghusun,village,0.7162,feddan,لا,,,,True,سكن ب,False,False,True,A,2022-04-22,23263.62,,,True,28.24,m,False,True,near,True,public,far,True,hospital,near,none,سهل,شمال,تسجيل جديد,اميرية,شكل غير منتظم,1,رملي
Kafr_Qasem,village,0.654,donum,لا أعلم,,,,False,,True,False,False,C,2021-09-25,70362.32,7.618,m,False,,,True,True,far,True,public,far,True,clinic,near,far,منحدر,جنوب,مالية,اميرية,مستطيلة,4,طيني
Hebron,city,3229.0,sqm,لا أعلم,,,,False,,False,False,True,B,2024-12-31,78982.32,7.348,m,False,,,True,True,near,True,public,far,True,clinic,far,none,جبل,غرب,طابو,اميرية,مربعة,2,صخري
Salfit_Village,village,0.3599,hectare,نعم,19,ترابي,11,True,منطقة صناعية,True,True,True,A,2020-06-02,9148.91,2.354,m,False,49.71,m,False,False,,False,,,False,,,far,سهل,شمال,مالية,ملك,مستطيلة,2,طمي
Salfit_Village,village,1926.0,sqm,لا,,,,True,تجاري هامشي,True,True,False,A,2020-12-31,70955.7,,,True,15.01,min,False,True,far,False,,,False,,,none,سهل,شمال,تسجيل جديد,اميرية,موارس,4,طيني
Bethlehem,city,2317.0,sqm,لا,,,,True,سكن ج,False,True,False,A,2020-12-26,7054.9,8.34,km,False,34.8,km,False,False,,True,public,near,True,hospital,far,none,جبل,شرق,مالية,اميرية,مربعة,4,طمي
Salfit_Village,village,1.511,donum,لا أعلم,,,,False,,False,True,False,B,2022-12-31,83256.95,8.034,km,False,8.2,km,False,False,,True,public,near,True,clinic,near,far,جبل,غرب,مالية,اميرية,شبه مستطيلة,4,رملي
Kafr_Qasem,village,4925.0,sqm,لا أعلم,,,,False,,True,False,True,B,2023-05-12,82305.64,20.498,km,False,25.8,km,False,False,,True,public,near,True,hospital,near,far,جبل,شمال,تسجيل جديد,ملك,شكل غير منتظم,1,طيني
Jericho,city,0.9412,feddan,لا,,,,False,,False,False,False,A,2022-01-04,70393.0,,,True,31.79,m,False,False,,True,private,near,False,,,none,سهل,شمال,طابو,ملك,مربعة,0,طمي
Tulkarm,city,0.5879,feddan,نعم,4,زفتة فرعي,9,False,,False,False,True,A,2021-07-10,19840.44,12.893,m,False,48.1,km,False,False,,False,,,True,clinic,near,none,سهل,شرق,تسجيل جديد,اميرية,شبه مستطيلة,2,رملي
Bethlehem,city,0.9874,feddan,نعم,26,ترابي,3,True,تجاري هامشي,False,True,True,B,2022-04-15,32720.75,0.554,km,False,,,True,False,,False,,,True,clinic,near,none,منحدر,جنوب,طابو,ملك,موارس,3,طمي
Beit_Ummar,village,1.0517,feddan,لا,,,,False,,True,True,False,A,2021-07-07,93236.56,,,True,15.15,km,False,False,,True,public,far,True,clinic,near,far,منحدر,جنوب,تسجيل جديد,اميرية,مستطيلة,0,صخري
Salfit,city,2.65,donum,لا أعلم,,,,False,,True,False,True,A,2022-03-17,87355.05,,,True,1.73,km,False,False,,True,private,far,False,,,far,منحدر,جنوب,مالية,اميرية,شكل غير منتظم,3,رملي
Qalqilya,city,2618.0,sqm,لا,,,,True,منطقة صناعية,True,False,False,A,2021-03-26,24401.57,19.582,m,False,,,True,True,near,False,,,False,,,far,منحدر,جنوب,تسجيل جديد,اميرية,شبه مستطيلة,3,صخري
Beit_Sahour,village,2305.0,sqm,نعم,7,زفتة رئيسي,11,False,,False,True,True,B,2023-11-26,62495.02,25.063,m,False,0,m,False,False,,True,private,near,False,,,far,جبل,غرب,تسجيل جديد,اميرية,موارس,1,صخري
Jenin,city,1.0252,feddan,نعم,20,زفتة رئيسي,12,False,,True,True,True,A,2023-03-09,97655.2,,,True,0,m,False,True,near,False,,,True,clinic,far,none,سهل,شرق,مالية,اميرية,شبه مستطيلة,3,طيني
Beitunia,village,3.521,donum,لا,,,,False,,True,True,True,A,2022-10-30,36658.88,24.628,m,False,,,True,False,,False,,,False,,,none,منحدر,شمال,طابو,ملك,مستطيلة,0,طمي
Hebron,city,0.1884,hectare,نعم,16,ترابي,12,True,سكن ج,True,False,True,B,2022-06-23,77120.54,,,True,,,True,True,near,True,public,near,True,hospital,near,far,جبل,غرب,مالية,ملك,شكل غير منتظم,4,صخري
Tulkarm,city,0.1399,hectare,نعم,3,زفتة فرعي,9,False,,True,False,False,A,2023-12-11,18341.72,,,True,,,True,True,near,False,,,True,hospital,far,none,جبل,شرق,طابو,ملك,مربعة,0,طيني
Hebron,city,2352.0,sqm,لا,,,,True,تجاري هامشي,True,False,False,A,2022-12-01,56567.26,26.835,km,False,,,True,True,near,True,private,near,False,,,none,جبل,غرب,تسجيل جديد,ملك,شبه مربعة,3,رملي
Al-Bireh,city,0.1484,hectare,نعم,8,زفتة فرعي,10,True,منطقة صناعية,False,True,False,B,2023-12-18,80435.44,,,True,33.35,km,False,False,,True,private,far,True,clinic,far,none,جبل,جنوب,طابو,ملك,شبه مستطيلة,0,صخري
Deir_Al_Ghusun,village,2.857,donum,لا أعلم,,,,True,مكاتب,False,False,True,A,2023-01-13,15866.17,22.492,km,False,,,True,False,,False,,,False,,,none,سهل,غرب,مالية,ملك,شبه مستطيلة,4,صخري
Qalqilya,city,2707.0,sqm,لا أعلم,,,,False,,False,True,False,A,2022-03-12,62512.18,,,True,,,True,True,far,True,private,near,False,,,far,سهل,غرب,طابو,ملك,موارس,1,طمي
Jericho,city,0.2275,hectare,لا أعلم,,,,True,سكن أ,False,True,True,B,2023-10-01,51659.5,7.782,km,False,,,True,False,,True,public,near,True,hospital,near,none,سهل,غرب,تسجيل جديد,ملك,مستطيلة,2,طيني
As_Samu,village,3.546,donum,لا أعلم,,,,False,,False,False,False,B,2024-08-24,72755.96,,,True,2.34,min,False,True,near,True,private,near,False,,,none,منحدر,شمال,تسجيل جديد,ملك,شكل غير منتظم,0,طيني
Jericho,city,2556.0,sqm,لا أعلم,,,,True,سكن ج,False,False,True,C,2021-02-26,80008.91,29.428,m,False,46.53,m,False,False,,False,,,True,hospital,far,none,منحدر,غرب,طابو,ملك,مربعة,2,رملي
Jenin,city,2.029,donum,لا أعلم,,,,True,منطقة صناعية,False,True,False,B,2021-07-01,28651.64,2.781,m,False,32.55,km,False,False,,False,,,True,clinic,far,far,منحدر,جنوب,طابو,اميرية,شكل غير منتظم,0,رملي
Salfit,city,2.658,donum,لا,,,,False,,False,False,True,C,2020-11-23,46898.34,,,True,45.61,km,False,True,near,False,,,False,,,none,سهل,شمال,طابو,اميرية,موارس,4,صخري
Qalqilya,city,0.94,donum,نعم,22,زفتة رئيسي,12,True,سكن ج,True,False,True,A,2022-08-21,13687.08,10.368,m,False,0,m,False,False,,True,public,near,True,hospital,near,none,منحدر,شرق,طابو,ملك,شبه مربعة,3,رملي
Hebron,city,1.433,donum,نعم,23,زفتة رئيسي,5,False,,False,False,True,B,2025-01-13,12209.18,,,True,0,m,False,True,far,False,,,True,clinic,near,none,منحدر,شمال,مالية,اميرية,مستطيلة,4,طيني
Tulkarm,city,0.0239,hectare,لا أعلم,,,,False,,True,False,True,A,2023-12-22,34359.41,24.969,km,False,47.09,km,False,True,far,False,,,True,clinic,near,far,منحدر,جنوب,طابو,اميرية,موارس,4,طمي
Salfit_Village,village,1461.0,sqm,نعم,24,زفتة رئيسي,5,False,,True,True,False,A,2023-05-07,21605.78,24.631,km,False,0,m,False,False,,False,,,True,clinic,near,far,منحدر,شمال,طابو,اميرية,مستطيلة,4,طمي
Al-Bireh,city,0.0115,hectare,لا,,,,False,,True,False,True,B,2023-02-03,22014.39,,,True,,,True,False,,True,public,near,False,,,far,جبل,جنوب,مالية,اميرية,شبه مربعة,2,صخري
Qalqilya,city,0.2322,hectare,نعم,30,زفتة رئيسي,10,True,منطقة صناعية,True,False,False,B,2020-07-06,33838.8,,,True,0,m,False,False,,True,private,near,False,,,none,منحدر,شمال,تسجيل جديد,ملك,شكل غير منتظم,0,صخري
Salfit_Village,village,1.0271,feddan,لا أعلم,,,,False,,True,False,False,C,2023-03-11,14360.87,,,True,33.1,min,False,True,far,True,private,far,True,hospital,near,far,سهل,جنوب,طابو,ملك,شبه مستطيلة,1,طيني
Anabta,village,0.3639,hectare,لا أعلم,,,,True,مركز تجاري ب,True,True,True,C,2022-12-20,64420.81,,,True,11.57,km,False,True,near,True,private,far,True,clinic,far,none,منحدر,شمال,تسجيل جديد,اميرية,شكل غير منتظم,4,طيني
As_Samu,village,0.0438,feddan,لا,,,,False,,True,False,False,C,2021-10-01,80796.77,,,True,18.29,min,False,True,far,False,,,True,hospital,near,far,سهل,غرب,تسجيل جديد,اميرية,مستطيلة,4,طمي
As_Samu,village,0.449,donum,لا أعلم,,,,False,,False,True,False,C,2025-07-16,22828.62,16.026,km,False,,,True,False,,False,,,False,,,far,سهل,جنوب,طابو,ملك,شكل غير منتظم,3,طمي
Al-Bireh,city,0.3409,hectare,لا,,,,True,مكاتب,True,False,False,C,2020-12-13,62675.57,10.837,m,False,25.53,m,False,False,,False,,,True,hospital,far,far,جبل,غرب,طابو,اميرية,شبه مستطيلة,0,طيني
Nablus,city,4514.0,sqm,لا,,,,False,,True,False,True,C,2024-03-22,58394.95,,,True,31.53,m,False,False,,False,,,True,hospital,far,none,جبل,جنوب,تسجيل جديد,اميرية,مربعة,0,رملي
Salfit_Village,village,2624.0,sqm,لا,,,,True,سكن ج,True,False,False,A,2023-04-13,86192.06,26.719,km,False,,,True,False,,False,,,False,,,far,جبل,شمال,تسجيل جديد,ملك,شكل غير منتظم,3,صخري
Nablus,city,1775.0,sqm,لا أعلم,,,,True,تجاري هامشي,False,False,True,B,2024-12-25,54627.78,,,True,15.72,min,False,True,near,False,,,True,clinic,far,far,منحدر,غرب,مالية,اميرية,شكل غير منتظم,2,رملي
Beitunia,village,3.482,donum,لا,,,,True,سكن ب,True,True,False,C,2021-10-05,32870.64,,,True,43.96,km,False,True,near,True,private,near,False,,,none,سهل,شمال,طابو,ملك,مستطيلة,2,رملي
Beitunia,village,0.1511,hectare,لا,,,,True,مركز تجاري ب,False,True,True,A,2021-03-06,64566.63,13.029,km,False,,,True,True,near,False,,,True,hospital,near,far,منحدر,غرب,مالية,ملك,شبه مربعة,1,طمي
Bethlehem,city,1.0098,feddan,لا,,,,True,سكن أ,True,False,False,B,2020-12-09,7866.97,27.655,km,False,,,True,True,far,True,private,near,True,clinic,near,none,منحدر,جنوب,طابو,ملك,شكل غير منتظم,1,رملي
Ain_Yabrud,village,2985.0,sqm,لا,,,,False,,True,False,False,C,2024-12-06,12906.11,,,True,,,True,False,,True,private,near,True,clinic,near,far,جبل,شمال,تسجيل جديد,ملك,مربعة,3,صخري
Anabta,village,0.0749,hectare,لا,,,,False,,True,False,True,A,2024-03-17,9061.05,26.745,m,False,19.55,min,False,False,,True,public,far,True,clinic,near,far,منحدر,غرب,مالية,ملك,مستطيلة,2,رملي
Nablus,city,222.0,sqm,نعم,19,زفتة رئيسي,11,True,منطقة صناعية,False,False,False,B,2021-01-05,42859.16,22.603,m,False,0,m,False,False,,False,,,False,,,far,منحدر,شرق,مالية,ملك,شكل غير منتظم,0,طمي
Jenin,city,4177.0,sqm,لا أعلم,,,,True,تجاري هامشي,True,True,True,C,2022-04-03,54312.18,7.826,m,False,47.02,m,False,True,near,True,private,near,False,,,far,منحدر,شرق,مالية,اميرية,موارس,2,طيني
Salfit,city,0.4516,hectare,نعم,28,ترابي,3,True,تجاري هامشي,False,False,True,A,2025-05-26,97611.58,25.446,km,False,,,True,True,near,True,public,far,True,hospital,far,far,منحدر,شرق,تسجيل جديد,اميرية,مربعة,1,طمي
Beit_Sahour,village,0.604,donum,لا,,,,True,مركز تجاري ب,False,True,True,A,2025-02-13,77308.18,19.864,m,False,27.85,km,False,True,near,True,private,far,True,clinic,far,none,سهل,شمال,مالية,اميرية,مستطيلة,3,صخري
Jenin,city,0.3493,feddan,نعم,9,زفتة فرعي,10,False,,False,True,True,B,2024-05-27,4059.4,5.615,km,False,26.0,km,False,False,,True,private,far,False,,,none,جبل,شرق,طابو,اميرية,شكل غير منتظم,0,طمي
Beit_Ummar,village,1.1176,feddan,نعم,6,زفتة رئيسي,6,True,سكن ج,True,True,False,B,2025-06-18,81064.13,,,True,0,m,False,False,,True,public,near,True,hospital,far,far,جبل,شرق,مالية,اميرية,شبه مستطيلة,4,طمي
Ain_Yabrud,village,3824.0,sqm,نعم,6,ترابي,3,False,,True,False,True,A,2020-11-30,10671.0,,,True,11.05,km,False,True,far,False,,,True,clinic,far,none,جبل,شرق,تسجيل جديد,اميرية,شبه مربعة,3,رملي
Beit_Sahour,village,1037.0,sqm,نعم,28,ترابي,9,False,,False,False,True,A,2023-04-23,9903.76,,,True,4.31,min,False,True,far,False,,,True,clinic,near,none,منحدر,شمال,تسجيل جديد,اميرية,موارس,1,رملي
Jenin,city,4.01,donum,لا أعلم,,,,True,تجاري هامشي,True,False,True,C,2024-03-10,19558.74,15.071,km,False,6.18,m,False,True,near,False,,,False,,,none,سهل,جنوب,تسجيل جديد,ملك,مربعة,1,طيني
Ain_Yabrud,village,0.1671,feddan,لا,,,,True,مركز تجاري ب,True,True,True,C,2021-12-08,37620.2,8.494,km,False,34.23,km,False,False,,False,,,True,clinic,near,far,سهل,غرب,تسجيل جديد,ملك,مربعة,0,صخري
As_Samu,village,2.717,donum,لا,,,,False,,False,True,True,C,2024-09-07,42775.4,20.128,km,False,,,True,False,,False,,,False,,,far,منحدر,جنوب,طابو,اميرية,شبه مستطيلة,2,صخري
Salfit,city,0.4841,hectare,نعم,8,زفتة فرعي,12,False,,True,False,False,B,2022-09-02,28541.0,2.514,km,False,14.67,km,False,False,,False,,,True,clinic,far,far,جبل,شمال,طابو,اميرية,شكل غير منتظم,4,رملي
Salfit_Village,village,0.1858,hectare,لا أعلم,,,,False,,False,False,True,C,2024-03-31,48657.86,19.142,m,False,7.76,min,False,False,,True,public,near,True,clinic,far,far,منحدر,غرب,تسجيل جديد,ملك,موارس,1,طمي
Beit_Sahour,village,2.953,donum,لا أعلم,,,,True,منطقة صناعية,False,False,False,C,2022-04-22,78818.63,25.784,km,False,31.43,km,False,True,near,True,public,far,True,clinic,far,far,منحدر,جنوب,مالية,ملك,موارس,1,رملي
Al-Bireh,city,3825.0,sqm,نعم,4,زفتة فرعي,7,False,,True,True,False,C,2022-10-02,35425.35,17.437,km,False,16.91,m,False,False,,True,private,near,True,clinic,near,none,سهل,شرق,تسجيل جديد,اميرية,موارس,3,رملي
Beitunia,village,1.1826,feddan,لا أعلم,,,,False,,False,True,False,B,2021-09-22,55958.99,6.556,m,False,,,True,True,near,True,private,near,False,,,far,سهل,شرق,مالية,اميرية,شكل غير منتظم,4,طمي
Salfit_Village,village,0.8319,feddan,لا أعلم,,,,False,,False,True,False,B,2023-08-01,58698.55,,,True,45.2,min,False,False,,False,,,False,,,far,منحدر,شرق,مالية,اميرية,مستطيلة,2,طيني
Nablus,city,3.319,donum,نعم,25,زفتة رئيسي,8,False,,False,False,False,A,2021-05-21,60665.83,,,True,0,m,False,False,,False,,,True,hospital,far,far,سهل,شمال,طابو,اميرية,مربعة,0,طيني
Bethlehem,city,2.054,donum,لا,,,,True,تجاري هامشي,True,True,False,B,2023-03-01,27585.63,1.16,km,False,,,True,True,near,False,,,False,,,none,منحدر,شمال,تسجيل جديد,ملك,مستطيلة,0,طمي
Al-Bireh,city,4356.0,sqm,لا أعلم,,,,True,مركز تجاري ب,True,False,True,A,2022-08-16,17200.59,0.839,km,False,22.06,min,False,True,far,True,public,near,False,,,far,سهل,شمال,تسجيل جديد,ملك,مستطيلة,1,طمي
As_Samu,village,0.9081,feddan,نعم,22,زفتة فرعي,11,True,مكاتب,False,False,False,C,2020-08-24,86025.21,,,True,26.48,min,False,True,far,True,public,far,False,,,none,جبل,غرب,تسجيل جديد,اميرية,شكل غير منتظم,0,رملي
Tulkarm,city,1.963,donum,لا,,,,True,منطقة صناعية,False,True,False,B,2023-04-24,42307.27,,,True,32.9,m,False,True,near,False,,,True,hospital,far,far,منحدر,جنوب,مالية,ملك,شكل غير منتظم,3,طمي
Hebron,city,2.07,donum,لا,,,,True,سكن ج,False,False,False,C,2025-04-27,85149.99,,,True,1.14,km,False,False,,True,public,far,True,clinic,far,far,جبل,شرق,تسجيل جديد,ملك,شبه مربعة,2,طيني
Kafr_Qasem,village,0.9938,feddan,لا,,,,False,,False,True,False,A,2023-07-28,34847.43,24.061,m,False,32.24,km,False,False,,False,,,False,,,none,جبل,شمال,مالية,اميرية,موارس,3,طيني
Nablus,city,0.3871,feddan,لا أعلم,,,,True,سكن أ,True,True,True,B,2020-05-04,75463.07,,,True,9.56,km,False,False,,False,,,False,,,far,سهل,غرب,تسجيل جديد,ملك,موارس,0,طمي
Qalqilya,city,4.061,donum,لا أعلم,,,,True,مركز تجاري ب,True,True,False,A,2025-01-08,72749.01,29.843,m,False,13.71,min,False,True,near,False,,,True,clinic,near,far,جبل,شرق,طابو,اميرية,موارس,0,طيني
Jenin,city,1927.0,sqm,لا,,,,False,,True,True,True,B,2023-05-27,44531.05,7.932,m,False,,,True,True,near,True,private,far,True,hospital,near,none,منحدر,غرب,مالية,ملك,مربعة,1,طمي
Ramallah,city,3080.0,sqm,لا أعلم,,,,False,,False,True,False,B,2022-10-12,17651.73,16.786,m,False,37.44,km,False,True,far,True,public,far,False,,,none,منحدر,شرق,طابو,ملك,شكل غير منتظم,0,طمي
Ain_Yabrud,village,1.0752,feddan,لا,,,,False,,False,True,False,C,2021-04-25,72155.18,4.364,km,False,,,True,True,far,True,private,near,True,hospital,near,none,منحدر,شمال,مالية,اميرية,مستطيلة,1,طمي
Nablus,city,1.947,donum,لا أعلم,,,,False,,True,True,False,A,2021-03-15,62651.16,19.434,km,False,39.26,km,False,False,,False,,,True,clinic,near,far,جبل,شمال,مالية,ملك,مربعة,0,طيني
Ramallah,city,0.4086,hectare,نعم,21,زفتة رئيسي,9,True,منطقة صناعية,False,False,False,C,2024-08-31,4238.68,,,True,0,m,False,False,,False,,,False,,,none,منحدر,شرق,تسجيل جديد,ملك,شبه مربعة,2,صخري
Al-Bireh,city,0.8762,feddan,لا أعلم,,,,True,تجاري هامشي,True,True,True,A,2023-10-26,94027.18,17.125,m,False,,,True,False,,False,,,False,,,none,سهل,شرق,مالية,اميرية,موارس,0,طيني
Salfit,city,0.525,donum,لا أعلم,,,,True,مركز تجاري ب,True,False,False,A,2023-01-21,15376.55,3.496,m,False,26.62,m,False,False,,False,,,False,,,far,سهل,غرب,مالية,اميرية,مستطيلة,3,طمي
Kafr_Qasem,village,4.659,donum,لا أعلم,,,,True,مكاتب,True,False,True,C,2024-12-06,95360.83,12.233,km,False,,,True,True,far,False,,,False,,,far,منحدر,شرق,مالية,ملك,شبه مستطيلة,3,طمي
Hebron,city,1.0974,feddan,لا أعلم,,,,True,سكن ج,True,False,True,B,2023-10-15,48451.21,21.698,km,False,17.07,min,False,False,,True,private,far,False,,,far,منحدر,شمال,مالية,ملك,شبه مربعة,0,طمي
As_Samu,village,0.026,hectare,لا أعلم,,,,True,سكن ج,True,False,True,A,2025-02-22,2261.5,,,True,22.8,km,False,True,near,True,private,far,True,hospital,far,none,جبل,جنوب,طابو,اميرية,شكل غير منتظم,0,رملي
Al-Bireh,city,0.2762,feddan,نعم,24,ترابي,11,False,,False,False,True,B,2023-11-21,64792.79,1.202,km,False,29.38,min,False,False,,False,,,False,,,far,جبل,جنوب,مالية,اميرية,موارس,2,رملي
Bethlehem,city,0.7267,feddan,لا,,,,True,سكن ب,True,False,True,B,2025-03-14,5096.72,23.101,km,False,23.56,m,False,False,,False,,,False,,,far,جبل,جنوب,طابو,ملك,مربعة,1,رملي
Al-Bireh,city,3437.0,sqm,لا أعلم,,,,False,,True,True,True,C,2024-10-15,70893.76,24.265,km,False,28.05,m,False,True,far,True,private,near,True,clinic,far,none,جبل,شمال,مالية,اميرية,شبه مستطيلة,1,طيني
Jericho,city,4686.0,sqm,لا,,,,True,سكن ج,False,True,False,A,2023-11-11,31039.32,9.06,m,False,,,True,True,far,True,private,near,False,,,none,منحدر,جنوب,مالية,اميرية,شبه مستطيلة,4,طيني
Hebron,city,0.2384,hectare,لا,,,,True,سكن ب,False,False,False,C,2024-11-14,72566.63,11.381,km,False,26.32,km,False,False,,True,private,far,False,,,none,منحدر,غرب,مالية,اميرية,مستطيلة,0,طيني
Hebron,city,2.245,donum,لا أعلم,,,,False,,True,True,True,B,2023-01-11,21109.28,26.951,m,False,48.43,km,False,True,near,False,,,True,clinic,near,none,منحدر,شرق,طابو,اميرية,مستطيلة,4,طيني
Anabta,village,4257.0,sqm,لا أعلم,,,,False,,False,True,True,B,2023-12-21,38741.83,,,True,,,True,True,near,False,,,False,,,far,سهل,شرق,مالية,ملك,شبه مربعة,4,طمي
